Date, Start Of Day Balance, End Of Day Balance, Delta Balance,  ( delta percentage)
09/13/20, 1079.0070864000002, 1178.0920205900002, 99.0849 , 9.183
09/14/20, 1174.30389733, 1194.0551566400002, 19.7513 , 1.682
09/15/20, 1193.6594399100002, 1032.1101321400001, -161.5493 , -13.534
09/16/20, 1030.78270092, 986.40742626, -44.3753 , -4.305
09/17/20, 984.94789252, 954.67228586, -30.2756 , -3.0738
09/18/20, 955.41088768, 973.73104, 18.3202 , 1.9175
09/19/20, 970.9038559999999, 968.5749631799999, -2.3289 , -0.2399
09/20/20, 967.7692157399999, 927.3298825999999, -40.4393 , -4.1786
09/21/20, 923.58032982, 876.0927, -47.4876 , -5.1417
09/22/20, 876.0927, 889.46824004, 13.3755 , 1.5267
09/23/20, 888.57031014, 850.8865744999999, -37.6837 , -4.2409
09/24/20, 856.66631104, 901.5628060399999, 44.8965 , 5.2408
09/25/20, 899.0999125999999, 918.7041045799999, 19.6042 , 2.1804
09/26/20, 919.4847538399999, 963.4300809999999, 43.9453 , 4.7793
09/27/20, 963.6604404999999, 959.9308105, -3.7296 , -0.387
09/28/20, 959.9344669999999, 1020.3690989999999, 60.4346 , 6.2957
09/29/20, 1019.8352499999999, 1050.22677638, 30.3915 , 2.98
09/30/20, 1050.817754, 1068.00352911, 17.1858 , 1.6355
10/01/20, 1069.10522813, 995.4336661799999, -73.6716 , -6.891
10/02/20, 995.66349081, 959.0727559999999, -36.5907 , -3.675
10/03/20, 958.1530407199999, 982.2398264999999, 24.0868 , 2.5139
10/04/20, 982.1875699499999, 1015.6108593299999, 33.4233 , 3.4029
10/05/20, 1016.4469641299999, 1001.0974735099999, -15.3495 , -1.5101
10/06/20, 1002.1251856599998, 964.8105251899999, -37.3147 , -3.7236
10/07/20, 963.06167265, 969.7888325199999, 6.7272 , 0.6985
10/08/20, 969.6843194199998, 962.78297105, -6.9013 , -0.7117
10/09/20, 961.94338248, 994.54450214, 32.6011 , 3.3891
10/10/20, 991.1234399999998, 999.1186921499999, 7.9953 , 0.8067
10/11/20, 998.3836166799999, 998.787734, 0.4041 , 0.0405
10/12/20, 999.2859131099999, 1079.32684008, 80.0409 , 8.0098
10/13/20, 1078.5343896, 1078.8993339, 0.3649 , 0.0338
10/14/20, 1077.7002312, 1076.58802, -1.1122 , -0.1032
10/15/20, 1075.8059965, 1096.10037524, 20.2944 , 1.8864
10/16/20, 1094.29998336, 1048.25096402, -46.049 , -4.2081
10/17/20, 1048.12931592, 1058.65013874, 10.5208 , 1.0038
10/18/20, 1058.59800384, 1071.95148956, 13.3535 , 1.2614
10/19/20, 1072.33381216, 1052.1367519, -20.1971 , -1.8835
10/20/20, 1054.17348866, 1011.9546466399999, -42.2188 , -4.0049
10/21/20, 1011.7322043999999, 1050.2946521000001, 38.5624 , 3.8115
10/22/20, 1049.3944561600001, 1073.50858524, 24.1141 , 2.2979
10/23/20, 1073.5120609, 1067.31843478, -6.1936 , -0.5769
10/24/20, 1066.81446408, 1071.9445382400002, 5.1301 , 0.4809
10/25/20, 1071.76727958, 1060.252418, -11.5149 , -1.0744
10/26/20, 1059.6789341, 1089.73644178, 30.0575 , 2.8365
10/27/20, 1089.2394224, 1110.17332258, 20.9339 , 1.9219
10/28/20, 1109.4191043600001, 1055.94607526, -53.473 , -4.8199
10/29/20, 1054.28123412, 1051.74400232, -2.5372 , -0.2407
10/30/20, 1048.8001183000001, 1003.2481183399999, -45.552 , -4.3432
10/31/20, 1004.61057706, 998.5073180999999, -6.1033 , -0.6075
11/01/20, 997.4229121799999, 992.477048, -4.9459 , -0.4959
11/02/20, 992.9810186999999, 990.5272027399999, -2.4538 , -0.2471
11/03/20, 989.6443850999999, 926.76471015, -62.8797 , -6.3538
11/04/20, 926.93964984, 922.32947448, -4.6102 , -0.4974
11/05/20, 924.2400903100001, 954.4051811700001, 30.1651 , 3.2638
11/06/20, 954.5252378200001, 997.9240017000001, 43.3988 , 4.5466
11/07/20, 996.0133858700001, 961.7761875299999, -34.2372 , -3.4374
11/08/20, 960.3183260699999, 977.4772870099999, 17.159 , 1.7868
11/09/20, 977.8503078999998, 967.34754541, -10.5028 , -1.0741
11/10/20, 967.55972243, 973.08316937, 5.5234 , 0.5709
11/11/20, 973.5212122499998, 970.4549120899999, -3.0663 , -0.315
11/12/20, 969.6609593699999, 949.0387219099999, -20.6222 , -2.1267
11/13/20, 949.5144091, 967.8916767999999, 18.3773 , 1.9354
11/14/20, 969.4658933999998, 964.5105333199998, -4.9554 , -0.5111
11/15/20, 965.564574, 950.1885844699999, -15.376 , -1.5924
11/16/20, 949.5725866699999, 969.3598048899999, 19.7872 , 2.0838
11/17/20, 969.8834030199998, 990.6972842399998, 20.8139 , 2.146
11/18/20, 991.5870588399998, 957.8098461399999, -33.7772 , -3.4064
11/19/20, 957.8611792899999, 972.1728615099998, 14.3117 , 1.4941
11/20/20, 971.6800632699999, 996.8983287599999, 25.2183 , 2.5953
11/21/20, 995.6423776899999, 1045.58268822, 49.9403 , 5.0159
11/22/20, 1044.92904611, 1051.04111317, 6.1121 , 0.5849
11/23/20, 1050.58938145, 1048.54289987, -2.0465 , -0.1948
11/24/20, 1047.697614, 1132.0834660000003, 84.3859 , 8.0544
11/25/20, 1132.4863475, 1104.93676425, -27.5496 , -2.4327
11/26/20, 1101.4303295, 1011.5869, -89.8434 , -8.157
11/27/20, 1011.5869, 1011.9593388699999, 0.3724 , 0.0368
11/28/20, 1012.34952977, 1038.91798287, 26.5685 , 2.6244
11/29/20, 1039.53874112, 1081.0479584999998, 41.5092 , 3.993
11/30/20, 1081.7928683999999, 1111.6342590499999, 29.8414 , 2.7585
12/01/20, 1109.9320241, 1084.5542136499998, -25.3778 , -2.2864
12/02/20, 1085.33278265, 1085.0709003499999, -0.2619 , -0.0241
12/03/20, 1084.5754473499999, 1084.5011293999999, -0.0743 , -0.0069
12/04/20, 1084.3949609, 1057.2229028, -27.1721 , -2.5057
12/05/20, 1056.6248202499999, 1055.7719333, -0.8529 , -0.0807
12/06/20, 1055.90995235, 1047.6677378, -8.2422 , -0.7806
12/07/20, 1046.3866378999999, 1044.0757035499998, -2.3109 , -0.2208
12/08/20, 1043.2369723999998, 998.5304, -44.7066 , -4.2854
12/09/20, 998.5304, 1003.6079531399998, 5.0776 , 0.5085
12/10/20, 1002.6308661099999, 988.14740277, -14.4835 , -1.4445
12/11/20, 989.18445543, 972.1436343399998, -17.0408 , -1.7227
12/12/20, 971.89671704, 1003.3539810599999, 31.4573 , 3.2367
12/13/20, 1002.75785215, 1032.80768756, 30.0498 , 2.9967
12/14/20, 1032.41261988, 1070.72007528, 38.3075 , 3.7105
12/15/20, 1071.7183266499999, 1050.63511662, -21.0832 , -1.9672
12/16/20, 1051.5028545599998, 1081.16467707, 29.6618 , 2.8209
12/17/20, 1081.4010122, 1072.23563416, -9.1654 , -0.8475
12/18/20, 1072.7142480799998, 1090.1660600599998, 17.4518 , 1.6269
12/19/20, 1091.6230171399998, 1194.21944258, 102.5964 , 9.3985
12/20/20, 1192.63595452, 1241.00431708, 48.3684 , 4.0556
12/21/20, 1239.8913110600001, 1140.7073771199998, -99.1839 , -7.9994
12/22/20, 1140.22987296, 1164.26307866, 24.0332 , 2.1078
12/23/20, 1165.50248284, 1131.47328932, -34.0292 , -2.9197
12/24/20, 1131.84546168, 1075.576166, -56.2693 , -4.9715
12/25/20, 1074.65132672, 1088.8665722, 14.2152 , 1.3228
12/26/20, 1089.42879464, 1131.6353987600003, 42.2066 , 3.8742
12/27/20, 1130.5375679600002, 1116.3955112, -14.1421 , -1.2509
12/28/20, 1117.9923560000002, 1184.9642908600001, 66.9719 , 5.9904
12/29/20, 1186.1856939, 1262.62605904, 76.4404 , 6.4442
12/30/20, 1265.30157328, 1263.22208944, -2.0795 , -0.1643
12/31/20, 1266.5896612, 1243.2120243999998, -23.3776 , -1.8457
01/01/21, 1243.4769268, 1250.3478328, 6.8709 , 0.5526
01/02/21, 1248.410734, 1253.7948752799998, 5.3841 , 0.4313
01/03/21, 1245.5862121599998, 1350.59021224, 105.004 , 8.4301
01/04/21, 1351.03723504, 1283.7201, -67.3171 , -4.9826
01/05/21, 1283.7201, 1300.08109394, 16.361 , 1.2745
01/06/21, 1299.9466019600002, 1340.3838572800003, 40.4373 , 3.1107
01/07/21, 1341.0242952800004, 1402.0942698400002, 61.07 , 4.554
01/08/21, 1400.36590468, 1327.78095748, -72.5849 , -5.1833
01/09/21, 1326.589312, 1416.51541648, 89.9261 , 6.7787
01/10/21, 1415.0713849600002, 1346.28820216, -68.7832 , -4.8608
01/11/21, 1352.0196016, 1266.8313, -85.1883 , -6.3008
01/12/21, 1266.8313, 1289.7697380000002, 22.9384 , 1.8107
01/13/21, 1285.8463539900001, 1334.2104360000003, 48.3641 , 3.7613
01/14/21, 1334.5586653500002, 1372.24812637, 37.6895 , 2.8241
01/15/21, 1372.8867189799998, 1349.01394343, -23.8728 , -1.7389
01/16/21, 1348.7492418299998, 1443.83336532, 95.0841 , 7.0498
01/17/21, 1443.1418323899998, 1554.2524534000001, 111.1106 , 7.6992
01/18/21, 1548.4557218000002, 1488.8741679000002, -59.5816 , -3.8478
01/19/21, 1490.1120804000002, 1417.0884473, -73.0236 , -4.9005
01/20/21, 1419.1384304000003, 1366.5264, -52.612 , -3.7073
01/21/21, 1367.90016, 1313.85048, -54.0497 , -3.9513
01/22/21, 1314.10644, 1272.291405, -41.815 , -3.182
01/23/21, 1273.01969156, 1270.3657659599999, -2.6539 , -0.2085
01/24/21, 1270.979872, 1283.6014484, 12.6216 , 0.9931
01/25/21, 1283.1076948, 1300.89516824, 17.7875 , 1.3863
01/26/21, 1295.27254912, 1279.61747404, -15.6551 , -1.2086
01/27/21, 1281.60791824, 1278.6484825999999, -2.9594 , -0.2309
01/28/21, 1277.66406136, 1328.80767644, 51.1436 , 4.0029
01/29/21, 1327.9806391599998, 1318.1577832, -9.8229 , -0.7397
01/30/21, 1314.2292344, 1392.1259532, 77.8967 , 5.9272
01/31/21, 1393.6961412, 1362.3601148, -31.336 , -2.2484
02/01/21, 1362.557158, 1516.9144815600002, 154.3573 , 11.3285
02/02/21, 1514.1285131500001, 1552.24842025, 38.1199 , 2.5176
02/03/21, 1549.42912625, 1589.7174504000002, 40.2883 , 2.6002
02/04/21, 1591.6419250000001, 1731.8405125000002, 140.1986 , 8.8084
02/05/21, 1731.8159969, 1948.05195209, 216.236 , 12.4861
02/06/21, 1946.56037739, 2167.07904612, 220.5187 , 11.3286
02/07/21, 2168.0478236000004, 2069.41169892, -98.6361 , -4.5495
02/08/21, 2070.10107976, 2336.49362832, 266.3925 , 12.8686
02/09/21, 2333.1165732800005, 3156.8827835, 823.7662 , 35.3075
02/10/21, 3150.63552996, 3665.1693, 514.5338 , 16.3311
02/11/21, 3665.1693, 3437.84715824, -227.3221 , -6.2022
02/12/21, 3454.83243992, 3817.5160160800006, 362.6836 , 10.4979
02/13/21, 3816.3634734400002, 3706.869118400001, -109.4944 , -2.8691
02/14/21, 3707.1215, 3823.2058190400003, 116.0843 , 3.1314
02/15/21, 3819.3191424000006, 3740.77238, -78.5468 , -2.0566
02/16/21, 3746.08080632, 3630.0329424000006, -116.0479 , -3.0978
02/17/21, 3626.6622459200003, 4699.23583183, 1072.5736 , 29.5747
02/18/21, 4669.28693299, 5554.02277293, 884.7358 , 18.948
02/19/21, 5556.51179821, 8163.444408519999, 2606.9326 , 46.9167
02/20/21, 8123.5619183399995, 6478.9726, -1644.5893 , -20.2447
02/21/21, 6478.9726, 6723.80440252, 244.8318 , 3.7789
02/22/21, 6779.765648799999, 6426.594, -353.1716 , -5.2092
02/23/21, 6426.594, 5161.2831, -1265.3109 , -19.6887
02/24/21, 5161.2831, 5607.1829, 445.8998 , 8.6393
02/25/21, 5607.1829, 5205.92314858, -401.2598 , -7.1562
02/26/21, 5201.98691766, 4860.89181143, -341.0951 , -6.557
02/27/21, 4879.6808368599995, 4978.05988851, 98.3791 , 2.0161
02/28/21, 4969.73708779, 4519.9411, -449.796 , -9.0507
03/01/21, 4519.9411, 5283.18599218, 763.2449 , 16.8862
03/02/21, 5273.0574996099995, 4913.6021, -359.4554 , -6.8168
03/03/21, 4913.6021, 4943.252283909999, 29.6502 , 0.6034
03/04/21, 4932.944234119999, 4684.18296433, -248.7613 , -5.0429
03/05/21, 4674.188136989999, 4449.53181116, -224.6563 , -4.8063
03/06/21, 4454.184290259999, 4395.14345632, -59.0408 , -1.3255
03/07/21, 4401.64527158, 4586.08935742, 184.4441 , 4.1903
03/08/21, 4578.9328927, 4621.9571545399995, 43.0243 , 0.9396
03/09/21, 4627.57898106, 5524.455961399999, 896.877 , 19.3811
03/10/21, 5507.123708839999, 5396.387939499999, -110.7358 , -2.0108
03/11/21, 5377.23042518, 5667.24451856, 290.0141 , 5.3934
03/12/21, 5686.54762128, 5299.1461, -387.4015 , -6.8126
03/13/21, 5299.1461, 5547.07137232, 247.9253 , 4.6786
03/14/21, 5552.89913518, 5340.40842, -212.4907 , -3.8267
03/15/21, 5346.14555504, 5104.129872239999, -242.0157 , -4.5269
03/16/21, 5109.896559829999, 5088.3448702, -21.5517 , -0.4218
03/17/21, 5088.019792149999, 5170.9738, 82.954 , 1.6304
03/18/21, 5181.636360039999, 5192.08417155, 10.4478 , 0.2016
03/19/21, 5188.7742859499995, 5243.02488707, 54.2506 , 1.0455
03/20/21, 5236.45831046, 5304.041051969999, 67.5827 , 1.2906
03/21/21, 5302.354586449999, 5297.015425749999, -5.3392 , -0.1007
03/23/21, 5277.849611989999, 5116.041520059999, -161.8081 , -3.0658
03/24/21, 5107.92836, 5073.17850154, -34.7499 , -0.6803
03/25/21, 5068.2254941599995, 4619.9818898799995, -448.2436 , -8.8442
03/26/21, 4633.34664952, 4897.75053985, 264.4039 , 5.7065
03/27/21, 4905.82524373, 5152.88627268, 247.061 , 5.0361
03/28/21, 5159.40801154, 5189.884710519999, 30.4767 , 0.5907
03/29/21, 5177.390676239999, 5328.398627879999, 151.008 , 2.9167
03/30/21, 5338.431774639999, 6059.144712300001, 720.7129 , 13.5005
03/31/21, 6042.049728030001, 5859.27989169, -182.7698 , -3.025
04/01/21, 5857.247485860001, 6372.31756115, 515.0701 , 8.7937
04/02/21, 6381.416162899999, 6554.303075559999, 172.8869 , 2.7092
04/03/21, 6559.286606, 6535.944119139999, -23.3425 , -0.3559
04/04/21, 6523.35820146, 6744.717072479999, 221.3589 , 3.3933
04/05/21, 6756.2188604699995, 7243.615821279999, 487.397 , 7.214
04/06/21, 7255.822363599999, 7695.599144500001, 439.7768 , 6.061
04/07/21, 7715.911165320001, 6905.0737, -810.8375 , -10.5086
04/08/21, 6905.0737, 7574.3752417099995, 669.3015 , 9.6929
04/09/21, 7572.210233989999, 7904.122708779999, 331.9125 , 4.3833
04/10/21, 7881.970678469999, 8466.41028122, 584.4396 , 7.4149
04/11/21, 8494.7766036, 8987.36188174, 492.5853 , 5.7987
04/12/21, 8988.56482624, 10290.20121344, 1301.6364 , 14.481
04/13/21, 10296.425, 9805.691905040001, -490.7331 , -4.7661
04/14/21, 9827.215256, 9388.08310412, -439.1322 , -4.4685
04/15/21, 9363.31444352, 9634.510051759999, 271.1956 , 2.8964
04/16/21, 9644.69647748, 8394.284079719999, -1250.4124 , -12.9648
04/17/21, 8416.941990069998, 8457.866880729998, 40.9249 , 0.4862
04/18/21, 8465.971347699999, 8009.14754666, -456.8238 , -5.396
04/19/21, 8024.061313040001, 8509.96790849, 485.9066 , 6.0556
04/20/21, 8477.75484748, 9867.26532206, 1389.5105 , 16.3901
04/21/21, 9878.928328349999, 9694.67847659, -184.2499 , -1.8651
04/22/21, 9647.306985669999, 8649.8608, -997.4462 , -10.3391
04/23/21, 8649.8608, 8784.456885639998, 134.5961 , 1.556
04/24/21, 8787.751862319998, 8544.642583419998, -243.1093 , -2.7665
04/25/21, 8557.78729456, 8384.537889999998, -173.2494 , -2.0245
04/26/21, 8356.549023999998, 9091.466253999999, 734.9172 , 8.7945
04/27/21, 9067.332141999997, 9482.580018999999, 415.2479 , 4.5796
04/28/21, 9492.44535, 9512.343221000001, 19.8979 , 0.2096
04/29/21, 9511.674385, 9793.755968, 282.0816 , 2.9656
04/30/21, 9768.3402, 10533.941632999999, 765.6014 , 7.8376
05/01/21, 10513.589470999998, 10467.880516999998, -45.709 , -0.4348
05/02/21, 10464.377275999997, 10560.299350999998, 95.9221 , 0.9167
05/03/21, 10568.807222, 11373.718546999999, 804.9113 , 7.6159
