time,high,low,open,close,volume
1631833200000,47942.41,47575.15,47638.42,47737.82,41590977.59
1631836800000,47880,47499.04,47737.82,47499.99,53814379.04
1631840400000,48094.26,47450.44,47499.99,48028.01,81343225.03
1631844000000,48076.43,47728,48028.01,47744.27,39736245.32
1631847600000,48069.99,47715.35,47744.27,47899.83,39924577.9
1631851200000,48132.82,47741.66,47899.83,48071.87,58817106.88
1631854800000,48150,47940.12,48071.87,48044.84,46982433.31
1631858400000,48099.62,47809.84,48044.84,48057.62,59366146.28
1631862000000,48130,47652.51,48057.62,47719.73,60896929.77
1631865600000,47986.78,47644.36,47719.73,47915.56,59450581.19
1631869200000,47989.2,47700,47915.56,47720.99,63713308.67
1631872800000,47782.24,47324.87,47720.99,47454.4,118956225
1631876400000,47789.87,47278.9,47454.4,47403.56,104106629.26
1631880000000,47529.35,47222.13,47403.56,47464.92,95091125.96
1631883600000,47464.92,47126.1,47464.92,47240.34,73784194.36
1631887200000,47563.98,47214.93,47240.34,47489.37,58043818.34
1631890800000,47656.35,47425.85,47489.37,47527.52,51629635.19
1631894400000,47730,47353.69,47527.52,47619.14,60441519.04
1631898000000,47672.41,47213,47619.14,47247.38,40842765.81
1631901600000,47333.05,46750.47,47247.38,47195.51,145044661.53
1631905200000,47543,47073.26,47195.51,47501.68,52410172.01
1631908800000,47578.94,46966,47501.68,46970.96,56775767.9
1631912400000,47285.13,46699.56,46970.96,47269.29,94361218.27
1631916000000,47440.01,46913.51,47269.29,46968.29,78975990.2
1631919600000,47312.24,46889.05,46968.29,47299.98,42613393.15
1631923200000,47382.23,47035.56,47299.98,47382.22,51086737.36
1631926800000,47688,47329.41,47382.22,47597.33,66747636.87
1631930400000,47689.89,47529.69,47597.33,47651.48,40902175.53
1631934000000,47987.49,47651.47,47651.48,47924.57,58275795.37
1631937600000,48339,47919.91,47924.57,48329.3,103242878.87
1631941200000,48843.2,48283.27,48329.3,48678.99,185239303.61
1631944800000,48767.33,48496.45,48678.99,48590.87,84408499.68
1631948400000,48730,48502.68,48590.87,48622.01,56099482.24
1631952000000,48765.43,48571.27,48622.01,48656.62,62853011.6
1631955600000,48824.54,48505,48656.62,48613.88,53408849.59
1631959200000,48697.13,48547.52,48613.88,48582.57,38802093.44
1631962800000,48645.94,48315,48582.57,48367.16,56294826.43
1631966400000,48680,48249.88,48367.16,48360,72225833.58
1631970000000,48544.63,48313.74,48360,48447,41286436.81
1631973600000,48520.01,48368.15,48447,48474,46452028.06
1631977200000,48540,48249.16,48474,48414.99,44549439.72
1631980800000,48518.99,48155.1,48414.99,48198.37,58496268.03
1631984400000,48371.82,48093.28,48198.37,48333.02,49443574.06
1631988000000,48421.57,48222.27,48333.02,48296.05,47819400.65
1631991600000,48296.06,48062.63,48296.05,48266,45235784.28
1631995200000,48269.71,47800.51,48266,47974.02,88291234.46
1631998800000,48100,47859.59,47974.02,47874.92,36691404.52
1632002400000,48084.18,47830.08,47874.92,48038.33,36855039.58
1632006000000,48369.37,47950.56,48038.33,48292.74,66753893.62
1632009600000,48372.83,47899.99,48292.74,47932.01,68413601.92
1632013200000,47932.01,47591.83,47932.01,47872.86,74741873.14
1632016800000,48015.25,47763.86,47872.86,48007.06,34652568.28
1632020400000,48040,47780.81,48007.06,47844.88,22097692
1632024000000,48035.99,47763.85,47844.88,47846.11,33705612.55
1632027600000,48024.64,47763.87,47846.11,48003.63,29630910.17
1632031200000,48140.02,47880.72,48003.63,48129.12,45027395.52
1632034800000,48218.97,47924.97,48129.12,48157.7,41237350.41
1632038400000,48315.78,48131.46,48157.7,48259.7,51486740.14
1632042000000,48333,48070,48259.7,48117.19,44016779.51
1632045600000,48175.77,48050,48117.19,48061.89,41394302.22
1632049200000,48076.57,47180.32,48061.89,47327.73,150108831.64
1632052800000,47442.5,47069.01,47327.73,47274.52,112977024.11
1632056400000,47392.72,47200.76,47274.52,47325.46,47405115.34
1632060000000,47710,47258.88,47325.46,47580,92075999.99
1632063600000,47770,47525,47580,47646.72,48423592.85
1632067200000,47726.27,47487.74,47646.72,47544.91,68203344.59
1632070800000,47655,47287.91,47544.91,47359.99,66997310.57
1632074400000,47785,47291.66,47359.99,47659.39,63061428.99
1632078000000,47749.99,47339.27,47659.39,47376.72,57487599.81
1632081600000,47607.79,47260,47376.72,47594.67,42179807.25
1632085200000,47666.01,47354.39,47594.67,47457,30218692.33
1632088800000,47607.8,46829.18,47457,47042.94,111729062.68
1632092400000,47369.59,46973.18,47042.94,47241.75,44370243.47
1632096000000,47347.25,46750.43,47241.75,46977.98,98542353.05
1632099600000,47312.93,46909.01,46977.98,47220.79,43676793.01
1632103200000,47261.51,45811,47220.79,45938.37,206831424.26
1632106800000,46076.72,45100,45938.37,45542.76,191235409.26
1632110400000,45776.14,45338.36,45542.76,45650.45,95383032.84
1632114000000,45836.85,45606.77,45650.45,45724.73,56565530.86
1632117600000,45796.97,45444.44,45724.73,45638.93,64329891.42
1632121200000,45799.78,44444,45638.93,44824.89,217881999.73
1632124800000,45156.33,44662.14,44824.89,45046.55,96712421.92
1632128400000,45189.82,44753.18,45046.55,44844.02,65166086.43
1632132000000,45295,44265.9,44844.02,44585.33,205557994.41
1632135600000,44625.78,43240.33,44585.33,43739.75,310074280.41
1632139200000,44050,42500,43739.75,43532,432974681.41
1632142800000,44135,43135.68,43532,44054.65,248046161.81
1632146400000,44134.47,43693.97,44054.65,43807.99,148540081.68
1632150000000,44013.15,43435,43807.99,43844.88,131236008.31
1632153600000,44100,43557.87,43844.88,43850.46,104975452.04
1632157200000,44250,43726.83,43850.46,44044.12,61793823.75
1632160800000,44120.91,43224,44044.12,43406.62,117573812.3
1632164400000,43951.82,42888,43406.62,43850.25,181434071.75
1632168000000,43968.67,43215,43850.25,43540.38,77942555.23
1632171600000,43913.83,43426.62,43540.38,43516.86,51721933.98
1632175200000,43940,43043.16,43516.86,43343.03,90093112.94
1632178800000,43640,42551.11,43343.03,43015.62,158850361.51
1632182400000,43038.18,40200,43015.62,41666.69,503810394.16
1632186000000,42824,41554.09,41666.69,42762.58,155176784.17
1632189600000,43111,42516.06,42762.58,42900,121512219.47
1632193200000,42971.14,42574.53,42900,42683.01,72995504.07
1632196800000,42890.76,42306.9,42683.01,42433.08,93028959.25
1632200400000,42750.28,42172.24,42433.08,42564.99,80364772.73
1632204000000,43076.99,42556.03,42564.99,42894.7,86089294.81
1632207600000,43340,42750,42894.7,43301.07,94666683.52
1632211200000,43477.99,43050,43301.07,43266.17,99192461.53
1632214800000,43425.92,43063.19,43266.17,43149.96,72649531.15
1632218400000,43639,43065.68,43149.96,43446.17,81489285.69
1632222000000,43562.95,43229.41,43446.17,43288.97,63703406.62
1632225600000,43550,43071.64,43288.97,43116,99702829.22
1632229200000,43331.23,42793,43116,43131,110876281.45
1632232800000,43169.51,42146.13,43131,42429.75,162482684.18
1632236400000,43315,42317,42429.75,43072.81,108442982.14
1632240000000,43295.66,42360.46,43072.81,42446.3,108812318.91
1632243600000,42595,41502,42446.3,41691.42,173836796.19
1632247200000,42831.7,41628,41691.42,42196.41,194362712.93
1632250800000,42484.47,41705.13,42196.41,42013.63,109564157.98
1632254400000,42331.87,40738.63,42013.63,40960.32,229060135.8
1632258000000,41963.44,39600,40960.32,41379.1,352301292.47
1632261600000,41650.6,40451.23,41379.1,40508.13,174949751.06
1632265200000,41061.75,40216.2,40508.13,40734.38,202926547.19
1632268800000,41487.66,40565.39,40734.38,41017.29,182112828.91
1632272400000,42360,40806.68,41017.29,42199.99,207612404.29
1632276000000,42288.04,41891.69,42199.99,42030,80742429.04
1632279600000,42420.75,42000,42030,42052.09,92932266.35
1632283200000,42215.97,41820.01,42052.09,41890,73751047.27
1632286800000,42220,41840,41890,42018.73,61370232.6
1632290400000,42369.99,41860.03,42018.73,42326.66,74966900.26
1632294000000,42749.4,42129.19,42326.66,42540,113075582.65
1632297600000,42618.55,42229.51,42540,42289.81,74322038.7
1632301200000,42448.7,42117.23,42289.81,42389.81,72029420.61
1632304800000,42499.99,41952,42389.81,42153.04,72041664.48
1632308400000,42205,41841.46,42153.04,41928.32,72476302.81
1632312000000,42240.06,41874.65,41928.32,42184.75,56606521.72
1632315600000,42675.46,42064.28,42184.75,42372.29,98914932.37
1632319200000,42596.37,42271.36,42372.29,42317.02,115376518.16
1632322800000,43296,42317.02,42317.02,43222.96,187327442.18
1632326400000,43465,43072,43222.96,43339,132934305.95
1632330000000,43402.05,42922.18,43339,43128.92,98858023.58
1632333600000,44000.55,42931.02,43128.92,43134.05,265787891.78
1632337200000,43565.57,42855.01,43134.05,43384.9,97461973.74
1632340800000,43540.68,43164.32,43384.9,43423.01,70287858.51
1632344400000,43643.89,43006,43423.01,43247.3,75889942.22
1632348000000,43567,43185.69,43247.3,43509.39,53011141.51
1632351600000,43673.42,43460.01,43509.39,43543.61,52749802.19
1632355200000,43853.69,43111.42,43543.61,43184.37,108825863.66
1632358800000,43679.99,43069.09,43184.37,43627.41,68457603.3
1632362400000,43800.8,43484.95,43627.41,43704.43,60101567.37
1632366000000,44191.42,43617.45,43704.43,44074.57,100196752.15
1632369600000,44296,44019.49,44074.57,44036.52,69980074.33
1632373200000,44127.27,43685.8,44036.52,43891.23,66991921.93
1632376800000,44386.6,43710,43891.23,44300.32,72022607.49
1632380400000,44331.83,43962,44300.32,44229.99,71258995.27
1632384000000,44297.25,43823.78,44229.99,43859.73,79553354.99
1632387600000,44200,43788.43,43859.73,43985.09,68341311.45
1632391200000,44150,43440.73,43985.09,43770.59,132758236.39
1632394800000,43813.56,43361,43770.59,43648.15,76665955.39
1632398400000,43933.85,43394,43648.15,43509,91921293.24
1632402000000,44169.05,43420.01,43509,44022.7,115236535.6
1632405600000,44258.11,43931.74,44022.7,44133,106656836.64
1632409200000,44198.4,43672.96,44133,43747.63,86828711.96
1632412800000,43896.44,43602,43747.63,43789.24,61470214.05
1632416400000,44936.77,43789.23,43789.24,44817.3,235834018.55
1632420000000,44915.66,44462.91,44817.3,44735.46,118494567.92
1632423600000,44851.07,44563.58,44735.46,44767.57,70512678.22
1632427200000,44820.99,44468.13,44767.57,44680.01,76127577.37
1632430800000,44736.3,44550.01,44680.01,44665.62,44826618.27
1632434400000,44978,44358,44665.62,44786.35,92713788.46
1632438000000,44879.05,44588.84,44786.35,44865.26,71434221.5
1632441600000,44978.53,44607.78,44865.26,44649.99,89461023.64
1632445200000,44802.6,44369.75,44649.99,44460.58,74389594.15
1632448800000,44563.1,44298.83,44460.58,44444.43,77522102.61
1632452400000,44559.99,44205,44444.43,44283.03,71165210.66
1632456000000,44385.38,44000,44283.03,44261.63,75279192.95
1632459600000,44280.78,43889.64,44261.63,44210.52,91653731.75
1632463200000,44449.46,44100.02,44210.52,44118.14,72470709.29
1632466800000,45200,44113.48,44118.14,44818.46,208902389.51
1632470400000,45075,44412,44818.46,44517.29,120229513.15
1632474000000,44528.95,42331.24,44517.29,42350.81,570593826.3
1632477600000,42694.98,41927.22,42350.81,42142.54,288114633.44
1632481200000,42299,40675,42142.54,41527.5,430556315.69
1632484800000,41628.7,40976.86,41527.5,41182.76,200434347.98
1632488400000,42000,40843.82,41182.76,41830.86,255933642.93
1632492000000,42679.93,41761.09,41830.86,42448.12,277658288.1
1632495600000,42478.49,41617.3,42448.12,41944.01,128264049.58
1632499200000,42370.01,41833.91,41944.01,42188.51,90158070.43
1632502800000,42188.52,41742.01,42188.51,41992.56,68038930.48
1632506400000,42321,41927.25,41992.56,42152.07,48781053.17
1632510000000,42533.47,42135.26,42152.07,42371.43,73410444.21
1632513600000,42979,42303.78,42371.43,42934.52,84380465.27
1632517200000,43200,42774.29,42934.52,42911.69,80336933.78
1632520800000,43093.57,42741.07,42911.69,42993.13,61697047.39
1632524400000,43036.86,42477,42993.13,42810.57,57286714.61
1632528000000,42950,42548.66,42810.57,42727.89,69961468.84
1632531600000,42782.57,42024.54,42727.89,42392.91,88903673.86
1632535200000,42738.52,42278.4,42392.91,42336.36,46174259.76
1632538800000,42781.62,42326.38,42336.36,42608.11,55792429.13
1632542400000,42860.94,42608.11,42608.11,42693.01,40897240.8
1632546000000,42842.48,42400,42693.01,42446.13,49394631.4
1632549600000,42816.74,42435.48,42446.13,42744.69,33831984.55
1632553200000,42785.4,42206.43,42744.69,42372.02,60341377.81
1632556800000,42803.4,41646.28,42372.02,42642.91,169389976.17
1632560400000,42899.54,42448.09,42642.91,42649.29,96207566.95
1632564000000,42966.84,42600,42649.29,42679.58,49926342.44
1632567600000,42683.15,42234.1,42679.58,42485.03,66861138.98
1632571200000,42631.79,42302.56,42485.03,42344.98,43250929.74
1632574800000,42765.21,42243.6,42344.98,42500.02,83444059.96
1632578400000,42609.99,42156.33,42500.02,42343.93,71958511.15
1632582000000,42765.54,42213.8,42343.93,42669.96,77473937.05
1632585600000,42748.26,42348.39,42669.96,42629.61,65170198.03
1632589200000,42717.08,42513.14,42629.61,42597.56,46225141.2
1632592800000,42813.34,42429.58,42597.56,42581.83,50815625.5
1632596400000,42774.62,42500,42581.83,42665.95,35616160.08
1632600000000,42807.53,42522.11,42665.95,42645.91,32957560.36
1632603600000,42720,42375,42645.91,42676.06,37762661.6
1632607200000,42792.49,42574.34,42676.06,42717.37,32143792.23
1632610800000,42808.29,42579.01,42717.37,42670.64,23738080.61
1632614400000,42735.05,42306.77,42670.64,42575.68,69878847.4
1632618000000,42619.39,42117.2,42575.68,42383.95,71218132.74
1632621600000,42426.72,41904.02,42383.95,42062.5,77231702.73
1632625200000,42397.95,41924.2,42062.5,42212.4,47270507.41
1632628800000,42252.15,41855,42212.4,42223.06,51074457.2
1632632400000,42302.79,41968.67,42223.06,42069.04,39422578.35
1632636000000,42184.06,41930.7,42069.04,41963.14,46067845.98
1632639600000,42060,40750,41963.14,41231.34,234564175.8
1632643200000,41691.31,41037.13,41231.34,41607.53,172490226.77
1632646800000,43746.9,41500.68,41607.53,43251.33,309048649.72
1632650400000,43489,42832.36,43251.33,43003.37,138688008.5
1632654000000,43322.02,42998.81,43003.37,43063.57,67864959.26
1632657600000,43467.22,43063.57,43063.57,43262.2,90741028.82
1632661200000,43350,43116.57,43262.2,43217.41,49753522.44
1632664800000,43399.99,43091.34,43217.41,43318.36,67151765.05
1632668400000,43426,43194.19,43318.36,43343.73,88251592.75
1632672000000,43543.99,43136.36,43343.73,43214.15,68314697.58
1632675600000,43300.57,43078.33,43214.15,43145,91844457.11
1632679200000,43284,43136.64,43145,43190.81,24397019.65
1632682800000,43433.99,43124.26,43190.81,43252.54,34330124.14
1632686400000,43699,43252.54,43252.54,43640.1,67685465.57
1632690000000,43692,43356.51,43640.1,43563.89,31610229.26
1632693600000,43950,42785.25,43563.89,42894.49,92854196.84
1632697200000,43253.77,42673.67,42894.49,43160.9,92902888.24
1632700800000,43968,42933,43160.9,43872.24,98603866.28
1632704400000,44303.5,43711,43872.24,44271.66,110926766.27
1632708000000,44350,43961.99,44271.66,44174.13,75947488.35
1632711600000,44235.49,43843.12,44174.13,44038.75,49291405.93
1632715200000,44081.49,43900.36,44038.75,44013.08,41158030.37
1632718800000,44250,43972.18,44013.08,44085.89,52229687.81
1632722400000,44215.55,43678.58,44085.89,43728.35,63317657.5
1632726000000,43932.97,43662,43728.35,43688.03,64946020.15
1632729600000,43892.32,43662,43688.03,43836.2,61594806.39
1632733200000,44129.28,43367.57,43836.2,43556.97,103192048.57
1632736800000,43958,43510.1,43556.97,43772.19,60746113.39
1632740400000,43863.85,43550,43772.19,43747.69,50658496.7
1632744000000,43831.22,43260.75,43747.69,43544.33,85221706.29
1632747600000,43668.89,43320.59,43544.33,43508.48,54386554.07
1632751200000,44089.75,43083.74,43508.48,43192.38,118301408.07
1632754800000,43336.22,43045.53,43192.38,43293.26,93518513.73
1632758400000,43416.42,42850,43293.26,43066.16,111338616.54
1632762000000,43240.01,42923.52,43066.16,43049.47,55106128.78
1632765600000,43213.32,42940.01,43049.47,43033.61,46817582.28
1632769200000,43193.93,42947.73,43033.61,43011.82,47252210.08
1632772800000,43013.99,42564.32,43011.82,42675.71,79854292.24
1632776400000,43160.86,42578.56,42675.71,43069.98,40563545.16
1632780000000,43400,42983.61,43069.98,43163.66,49537976.33
1632783600000,43234.16,42098,43163.66,42147.35,114401378.53
1632787200000,42434.54,41942,42147.35,42333,85394284.62
1632790800000,42548.69,42078.63,42333,42459.91,62557231.91
1632794400000,42670.17,42242.93,42459.91,42433.06,61506293.02
1632798000000,42703.65,42375.55,42433.06,42558.4,50423020.16
1632801600000,42787.38,42505,42558.4,42635.84,43563118.97
1632805200000,42722.3,42347.2,42635.84,42413.06,63517312.69
1632808800000,42490.95,41855.99,42413.06,42214.35,73361132.22
1632812400000,42303.34,41650,42214.35,41775.25,97669782.67
1632816000000,42081.74,41514.12,41775.25,41844.31,132759579.96
1632819600000,42140,41656,41844.31,41891.99,77987862.22
1632823200000,41947.49,41620.35,41891.99,41820.67,60986456.28
1632826800000,42174.26,41716.56,41820.67,42101.49,79476342.58
1632830400000,42132.35,41754,42101.49,41827.41,57432869.37
1632834000000,42593.69,41792,41827.41,41999.96,159288436.85
1632837600000,41999.96,41278.49,41999.96,41543.63,161266576.18
1632841200000,41678.98,41317,41543.63,41447.18,77787427.37
1632844800000,41644.32,41137.77,41447.18,41262,74090562.88
1632848400000,41458.42,41115,41262,41404.41,69976136.91
1632852000000,41750,41270.5,41404.41,41578.38,64320566.87
1632855600000,41763.97,41380.74,41578.38,41601.99,50418227.85
1632859200000,42017.33,41574.07,41601.99,41770.75,62398804.92
1632862800000,41992.99,41762.37,41770.75,41851.86,29412559.14
1632866400000,41864.19,41556.96,41851.86,41574.51,36344583.78
1632870000000,41691.85,40888,41574.51,41026.54,85545660.98
1632873600000,41760,40753.88,41026.54,41596.2,122605143.85
1632877200000,41850.3,41334,41596.2,41551.15,62364359.57
1632880800000,41897.98,41544.37,41551.15,41701.8,55655633.88
1632884400000,42274.76,41620,41701.8,42199.99,72908699.93
1632888000000,42476.26,42136.99,42199.99,42245.8,73009016.26
1632891600000,42300.38,42000,42245.8,42300.38,45086529.22
1632895200000,42456.39,42129.62,42300.38,42450.25,45425306.14
1632906000000,42450.25,42000,42450.25,42252.57,49874154.17
1632909600000,42500,42129.63,42252.57,42431.93,66052247.61
1632913200000,42458.79,42228.1,42431.93,42399.98,54165260.97
1632916800000,42590,41856.21,42399.98,42050.31,94945965.39
1632920400000,42190,41900,42050.31,42144.48,76244893.21
1632924000000,42263.94,42041.7,42144.48,42219.12,52835714.18
1632927600000,42249.99,41619.99,42219.12,41698.98,88450383.73
1632931200000,41824.01,41416.71,41698.98,41497.31,79379461.33
1632934800000,41582.28,41200.01,41497.31,41219.72,52039315.83
1632938400000,41499.99,41052.4,41219.72,41306.78,69792443.06
1632942000000,41509.5,41151.04,41306.78,41207.86,43423051.68
1632945600000,41278.96,40900,41207.86,41128.88,77411704.42
1632949200000,41300,40956.06,41128.88,41236,39234082.15
1632952800000,41465,41071.29,41236,41360.36,44907878.18
1632956400000,41580.67,41296.3,41360.36,41524.28,33814231.27
1632960000000,42420.37,41410.17,41524.28,42329.41,95288018.5
1632963600000,43196.96,42250.99,42329.41,42965.41,149974439.66
1632967200000,43424.19,42910.1,42965.41,43407.83,97638589.75
1632970800000,43729.68,43135.09,43407.83,43591.23,115449718.88
1632974400000,43830,43432.82,43591.23,43506.61,82777499.93
1632978000000,43705.44,43438.72,43506.61,43516.52,53886243.76
1632981600000,43680,43362.51,43516.52,43371.92,54873825.37
1632985200000,43449.99,43217.16,43371.92,43286.88,65095375.65
1632988800000,43446.77,42784.83,43286.88,43062.03,131985418.78
1632992400000,43307.85,42975.36,43062.03,43147.37,63917986.89
1632996000000,43298.36,42697.01,43147.37,42826.78,70423802.46
1632999600000,43127.97,42767.74,42826.78,43072.29,51760621.67
1633003200000,43777,43006.78,43072.29,43419.53,136077591.06
1633006800000,43580,43066.17,43419.53,43081.77,98515505.96
1633010400000,43208.51,42850,43081.77,43118.64,89966931.46
1633014000000,43499,42935.66,43118.64,43149.02,90330574.33
1633017600000,43218,42819.86,43149.02,42950.67,68881282.36
1633021200000,43400,42906.69,42950.67,43333.12,86023788.32
1633024800000,44044.23,43261.84,43333.12,43994.08,132125212.8
1633028400000,44141.37,43525,43994.08,43532.31,84034809.08
1633032000000,43772.47,43100,43532.31,43435.08,61971596.04
1633035600000,43799.93,43375.1,43435.08,43754,40120496.5
1633039200000,43915.89,43631.14,43754,43741.7,45713001.94
1633042800000,43900,43590,43741.7,43824.1,38653672.45
1633046400000,44059,43661.63,43824.1,43694.48,87792530.45
1633050000000,43803.94,43417.61,43694.48,43742.74,56338648.3
1633053600000,43794.89,43283.03,43742.74,43379.01,58684290.14
1633057200000,43680,43352.28,43379.01,43635.79,43228225.15
1633060800000,43715.71,43456.46,43635.79,43625.02,42816443.82
1633064400000,43923.21,43515.61,43625.02,43850.33,52088456.25
1633068000000,44048.56,43729,43850.33,43995.09,67516793.91
1633071600000,44836,43916.26,43995.09,44788.42,213258855.49
1633075200000,44999,44700,44788.42,44945.8,132467725.98
1633078800000,45000,44767.29,44945.8,44906,81267694.06
1633082400000,47786.7,44829.4,44906,47081.46,572013095.17
1633086000000,47659.32,46957.48,47081.46,47488.08,220975313.93
1633089600000,47886.11,47170.23,47488.08,47214.37,244916137.36
1633093200000,47379.99,46957.14,47214.37,46980.94,122493667.1
1633096800000,47347.53,46763.68,46980.94,47130,163679194.61
1633100400000,47490.71,47039.94,47130,47363.68,166340371.72
1633104000000,47850,47232.98,47363.68,47559.88,136929179.67
1633107600000,47700,47397.01,47559.88,47617.29,68107302.23
1633111200000,47928,47437.86,47617.29,47724.18,86347518.25
1633114800000,48190,47705.68,47724.18,48030,109043153.46
1633118400000,48183.17,47721.74,48030,48090.42,83103242.1
1633122000000,48430,48062.59,48090.42,48344.93,99872948.24
1633125600000,48495,47710.01,48344.93,48001,120343372.87
1633129200000,48171.37,47910.36,48001,48141.61,46470726.32
1633132800000,48224.01,47610.76,48141.61,47817.73,105854129.23
